,revenue,cogs,gross_profit,operating_income,net_income,rnd,admin_expense,marketing_expense,gross_margin_pct,operating_margin_pct,net_margin_pct,revenue_growth_pct,net_income_growth_pct,rnd_ratio_pct,admin_ratio_pct,marketing_ratio_pct
2015-12-26,75872000.0,45449000.0,30423000.0,24171000.0,18361000.0,2404000.0,3848000.0,0.0,40.097796288485874,31.857602277520037,24.19996836777731,47.321411234733304,65.05753326141676,3.1684943061999156,5.071699704765922,0.0
2016-03-26,50557000.0,30636000.0,19921000.0,13987000.0,10516000.0,2511000.0,3423000.0,0.0,39.403050022746605,27.665802955080405,20.80028482702692,-33.36540489245044,-42.72643102227548,4.966671281919418,6.770575785746781,0.0
2016-06-25,42358000.0,26252000.0,16106000.0,10105000.0,7796000.0,2560000.0,3441000.0,0.0,38.023513858066956,23.856178289815382,18.405023844374142,-16.21733884526376,-25.86534804108026,6.043722555361443,8.123613012890127,0.0
2016-09-24,46852000.0,29039000.0,17813000.0,11761000.0,9014000.0,2570000.0,3482000.0,0.0,38.0197216767694,25.102450268931957,19.239306753180227,10.60956607960717,15.623396613648023,5.485358149065141,7.431913258772305,0.0
2016-12-31,78351000.0,48175000.0,30176000.0,23359000.0,17891000.0,2871000.0,3946000.0,0.0,38.51386708529566,29.813276154739572,22.834424576584855,67.23085460599334,98.48014200133126,3.66427997090018,5.036310959655908,0.0
2017-04-01,52896000.0,32305000.0,20591000.0,14097000.0,11029000.0,2776000.0,3718000.0,0.0,38.927329098608595,26.65040834845735,20.850347852389596,-32.48841750583911,-38.354479906098035,5.248033877797943,7.028886872353297,0.0
2017-07-01,45408000.0,27920000.0,17488000.0,10768000.0,8717000.0,2937000.0,3783000.0,0.0,38.513037350246655,23.713883016208598,19.197057787174067,-14.156079854809434,-20.962915948862094,6.468023255813954,8.331131078224102,0.0
2017-09-30,52579000.0,32648000.0,19931000.0,13120000.0,10714000.0,2997000.0,3814000.0,0.0,37.90676886209323,24.952927975047075,20.376956579623045,15.792371388301628,22.909257772169322,5.699994294300006,7.253846592746154,0.0
2017-12-30,88293000.0,54381000.0,33912000.0,26274000.0,20065000.0,3407000.0,4231000.0,0.0,38.408480853521795,29.757738439060855,22.725470875380836,67.92445653207555,87.27832742206458,3.8587430487128085,4.791999365748135,0.0
2018-03-31,61137000.0,37715000.0,23422000.0,15894000.0,13822000.0,3378000.0,4150000.0,0.0,38.310679294044526,25.99735021345503,22.608240509020725,-30.756685127926332,-31.113879890356344,5.52529564748025,6.788033433109246,0.0
2018-06-30,53265000.0,32844000.0,20421000.0,12612000.0,11519000.0,3701000.0,4108000.0,0.0,38.33849619825401,23.677837228949592,21.625833098657655,-12.875999803719518,-16.66184343799739,6.948277480521918,7.712381488782502,0.0
2018-09-29,62900000.0,38816000.0,24084000.0,16118000.0,14125000.0,3750000.0,4216000.0,0.0,38.289348171701114,25.624801271860097,22.456279809220987,18.088801276635678,22.623491622536672,5.961844197138315,6.702702702702703,0.0
2018-12-29,84310000.0,52279000.0,32031000.0,23346000.0,19965000.0,3902000.0,4783000.0,0.0,37.99193452733958,27.690665401494485,23.680464950776894,34.038155802861695,41.345132743362825,4.6281579883762305,5.673111137468865,0.0
2019-03-30,58015000.0,36194000.0,21821000.0,13415000.0,11561000.0,3948000.0,4458000.0,0.0,37.61268637421357,23.12333017323106,19.927604929759546,-31.18847111849128,-42.093663911845724,6.805136602602775,7.6842195983797295,0.0
2019-06-29,53809000.0,33582000.0,20227000.0,11544000.0,10044000.0,4257000.0,4426000.0,0.0,37.590365923916075,21.45366016837332,18.666022412607557,-7.249849176936996,-13.121702274889714,7.911315950863239,8.225389804679514,0.0
2019-09-28,64040000.0,39727000.0,24313000.0,15625000.0,13686000.0,4110000.0,4578000.0,0.0,37.96533416614616,24.39881324172392,21.37101811367895,19.013547919493014,36.26045400238949,6.41786383510306,7.148657089319175,0.0
2019-12-28,91819000.0,56602000.0,35217000.0,25569000.0,22236000.0,4451000.0,5197000.0,0.0,38.35480673934589,27.84717759940753,24.21720994565395,43.37757651467833,62.47259973695747,4.847580566113767,5.660048573824589,0.0
2020-03-28,58313000.0,35943000.0,22370000.0,12853000.0,11249000.0,4565000.0,4952000.0,0.0,38.36194330595236,22.041397287054345,19.290724195290927,-36.49135799780002,-49.41086526353661,7.828443057294257,8.49210296160376,0.0
